WKT;codvia;lf_add;lt_add;rf_add;rt_add;tipcalle;nomcalle;longitud;tipnomcall
"LINESTRING (721795.206 4375793.762,721719.773 4375748.343,721735.774 4375722.461,721774.738 4375745.90099999961)";81518;0;0;0;0;PL;EP CAMPAMENTO 12;0.00000;PL. EP CAMPAMENTO 12
"LINESTRING (721735.774 4375722.461,721806.635 4375765.08899999969,721795.206 4375793.762)";81518;0;0;10;10;PL;EP CAMPAMENTO 12;0.00000;PL. EP CAMPAMENTO 12
"LINESTRING (721787.766 4375718.545,721726.252 4375681.599,721725.314 4375681.099)";13620;7;17;16;30;C;CAMPAMENTO;0.00000;C. CAMPAMENTO
"LINESTRING (727328.066 4370671.955,727393.514 4370711.41)";81384;0;0;26;28;AV;INSTITUTO OBRERO DE VALENCIA;0.00000;AV. INSTITUTO OBRERO DE VALENCIA
"LINESTRING (727255.676 4370628.315,727328.066 4370671.955)";81384;0;0;18;24;AV;INSTITUTO OBRERO DE VALENCIA;0.00000;AV. INSTITUTO OBRERO DE VALENCIA
"LINESTRING (727386.231 4370570.488,727404.214 4370540.006)";81620;0;0;0;0;PL;MIGUEL ASINS ARBO (COMPOSITOR);0.00000;PL. MIGUEL ASINS ARBO (COMPOSITOR)
"LINESTRING (727347.996 4370637.478,727328.066 4370671.955)";81620;0;0;0;0;PL;MIGUEL ASINS ARBO (COMPOSITOR);0.00000;PL. MIGUEL ASINS ARBO (COMPOSITOR)
"LINESTRING (728017.436 4369045.613,728026.91 4369081.57,728026.489 4369091.03299999982,728031.542 4369116.26599999983)";3330;0;0;16;18;ENTRD;ALQUERIA ANTEQUERA;0.00000;ENTRD. ALQUERIA ANTEQUERA
"LINESTRING (727006.098 4370379.93599999975,726997.922 4370375.201)";81627;0;0;0;0;C;JUAN DE RIBERA BERENGUER (PINTOR);0.00000;C. JUAN DE RIBERA BERENGUER (PINTOR)
"LINESTRING (727135.261 4369852.54899999965,727182.499 4369874.74199999962,727193.217 4369879.609,727198.576 4369881.07,727204.179 4369880.826,727210.756 4369879.853,727218.065 4369882.286,727275.31 4369901.75499999989,727281.156 4369900.78199999966)";16560;15;15;0;0;ENTRD;CASA ROC;0.00000;ENTRD. CASA ROC
"LINESTRING (727135.261 4369852.54899999965,727084.752 4369916.01599999983,727028.42 4369985.834,727016.599 4370000.381)";31740;41;55;48;52;CTRA;FUENTE EN CORTS;0.00000;CTRA. FUENTE EN CORTS
"LINESTRING (725319.584 4372137.11,725292.627 4372151.02)";36570;5;5;8;8;C;HUESCA;0.00000;C. HUESCA
"LINESTRING (726191.04 4375239.593,726216.121 4375303.89099999983)";68280;95;95;0;0;C;SAN JUAN BOSCO;0.00000;C. SAN JUAN BOSCO
"LINESTRING (726172.278 4375318.818,726216.121 4375303.89099999983)";35460;0;0;0;0;AV;HERMANOS MACHADO;0.00000;AV. HERMANOS MACHADO
"LINESTRING (722134.802 4380490.09399999958,722408.02 4380501.32199999969)";81833;0;0;2;44;C;"CASTELL DE LA CREU, DEL";0.00000;"C. CASTELL DE LA CREU, DEL"
"LINESTRING (722149.497 4380452.864,722408.559 4380463.815)";81833;1;23;0;0;C;"CASTELL DE LA CREU, DEL";0.00000;"C. CASTELL DE LA CREU, DEL"
"LINESTRING (722241.135 4380189.814,722408.822 4380309.00499999989,722416.836 4380321.81599999964)";81834;0;0;2;6;C;"LLOMETES, DE LES";0.00000;"C. LLOMETES, DE LES"
"LINESTRING (722416.836 4380321.81599999964,722413.103 4380391.375,722408.559 4380463.815)";81837;1;27;0;0;C;"AGRUPACIO MUSICAL DE MASSARROJOS, DE L`";0.00000;"C. AGRUPACIO MUSICAL DE MASSARROJOS, DE L`"
"LINESTRING (722408.559 4380463.815,722408.02 4380501.32199999969)";81837;0;0;0;0;C;"AGRUPACIO MUSICAL DE MASSARROJOS, DE L`";0.00000;"C. AGRUPACIO MUSICAL DE MASSARROJOS, DE L`"
"LINESTRING (722408.02 4380501.32199999969,722397.48 4380641.46499999985)";81837;29;39;0;0;C;"AGRUPACIO MUSICAL DE MASSARROJOS, DE L`";0.00000;"C. AGRUPACIO MUSICAL DE MASSARROJOS, DE L`"
"LINESTRING (725175.873 4372769.864,725179.651 4372791.10699999984)";76500;19;19;22;22;C;VILLENA;0.00000;C. VILLENA
"LINESTRING (722537.455 4374278.745,722528.654 4374228.042,722524.853 4374203.565,722546.547 4374200.491,722548.014 4374194.043,722541.572 4374148.173,722574.132 4374132.052)";7350;0;0;32;34;PDA;ARRIBA;0.00000;PDA. ARRIBA
"LINESTRING (727188.412 4369780.597,727121.223 4369785.741,727076.603 4369791.728,727042.611 4369797.109,727028.421 4369799.15699999966,727020.537 4369800.102,727017.226 4369798.842,727014.704 4369797.109,727011.55 4369794.116,727010.762 4369790.809,727010.604 4369786.08299999963,727010.604 4369779.94,727014.388 4369766.079,727017.375 4369747.84499999974,727019.582 4369736.03199999966,727018.794 4369711.932,727016.405 4369694.967,727012.148 4369674.962,727043.208 4369665.66899999976)";4410;13;23;12;12;ENTRD;ALQUERIA ROS;0.00000;ENTRD. ALQUERIA ROS
"LINESTRING (727209.112 4374492.597,727243.386 4374487.934)";81194;0;0;20;20;C;POETA RICARD SANMARTI;0.00000;C. POETA RICARD SANMARTI
"LINESTRING (724197.9 4370838.51499999966,724183.403 4370864.23199999984)";35640;0;0;0;0;C;VIRGEN DE LA CABEZA;0.00000;C. VIRGEN DE LA CABEZA
"LINESTRING (731181.118 4359569.80399999954,731200.771 4359610.35699999984)";81301;0;0;0;0;C;CASBAH-SALER;0.00000;C. CASBAH-SALER
"LINESTRING (728167.262 4372755.377,728331.393 4372702.564,728612.515 4372607.045)";900;87;135;0;0;AV;BLASCO IBAÑEZ;201.89703;AV. BLASCO IBAÑEZ
"LINESTRING (723913.953 4372890.104,723893.426 4372876.377,723881.418 4372867.934,723865.407 4372858.15699999966,723847.173 4372848.382,723829.828 4372841.716,723808.481 4372834.60599999968,723785.355 4372827.051,723769.344 4372822.608,723753.778 4372819.052,723731.542 4372813.72,723722.202 4372811.49799999967,723713.313 4372810.187)";44850;0;0;0;0;AV;MANUEL DE FALLA;0.00000;AV. MANUEL DE FALLA
"LINESTRING (725400.151 4372707.60699999984,725390.401 4372706.60699999984,725366.651 4372704.60699999984,725298.427 4372702.206,725268.682 4372700.74899999984,725251.214 4372698.608)";29250;3;21;10;22;C;EXARCHS;148.25197;C. EXARCHS
"LINESTRING (729336.841 4372713.15,729341.388 4372712.433,729346.175 4372711.955,729390.381 4372705.49299999978,729398.255 4372703.99199999962)";20100;1;13;2;4;C;CONDE DE OLIVA;65.42491;C. CONDE DE OLIVA
"LINESTRING (729398.255 4372703.99199999962,729406.255 4372752.49199999962)";29850;29;39;38;48;C;FELIPE VIVES DE CAÑAMAS;49.15537;C. FELIPE VIVES DE CAÑAMAS
"LINESTRING (725251.214 4372698.608,725256.214 4372732.10699999984)";70170;17;19;6;6;C;SANTA TERESA;28.30222;C. SANTA TERESA
"LINESTRING (729782.876 4372707.466,729785.126 4372706.966,729806.376 4372704.46499999985,729809.126 4372704.46399999969)";13860;13;15;14;14;C;DON VICENTE GUILLOT (TIO BOLA);26.45144;C. DON VICENTE GUILLOT (TIO BOLA)
"LINESTRING (729809.126 4372704.46399999969,729818.689 4372790.96499999985,729821.251 4372814.46499999985)";9000;305;335;276;308;C;BARRACA;110.66626;C. BARRACA
"LINESTRING (724875.424 4373212.017,724885.947 4373214.889,724901.192 4373221.962,724932.049 4373241.939,724956.55 4373258.80399999954,724979.962 4373275.66899999976,725003.919 4373290.90099999961,725035.499 4373315.383,725071.612 4373342.83899999969,725089.035 4373360.24899999984)";56340;1;4;0;0;PSO;PECHINA;0.00000;PSO. PECHINA
"LINESTRING (723325.636 4372712.302,723330.566 4372791.166,723335.082 4372942.207)";35580;1;1;2;2;C;HERNANDEZ LAZARO;166.07341;C. HERNANDEZ LAZARO
"LINESTRING (723496.959 4372747.88,723325.636 4372712.302)";44850;0;0;12;12;AV;MANUEL DE FALLA;178.64701;AV. MANUEL DE FALLA
"LINESTRING (727674.587 4372723.597,727734.406 4372704.35)";25140;3;3;2;4;C;DOCTOR VICENTE PALLARES;61.48072;C. DOCTOR VICENTE PALLARES
"LINESTRING (727733.524 4372706.097,727772.025 4372813.096)";23070;1;9;2;8;C;"AMISTAT, L´";113.71565;"C. AMISTAT, L´"
"LINESTRING (724787.026 4372749.609,724779.339 4372706.11)";24720;3;5;2;8;C;DOCTOR PESET CERVERA;44.17406;C. DOCTOR PESET CERVERA
"LINESTRING (724857.964 4372711.609,724779.339 4372706.11)";12030;21;31;22;34;C;BORRULL;78.81713;C. BORRULL
"LINESTRING (729756.064 4372710.468,729758.751 4372709.968,729780.189 4372707.466,729782.876 4372707.466)";13860;11;11;12;12;C;DON VICENTE GUILLOT (TIO BOLA);27.00390;C. DON VICENTE GUILLOT (TIO BOLA)
