WKT;codvia;lf_add;lt_add;rf_add;rt_add;tipcalle;nomcalle;longitud;tipnomcall
"LINESTRING (729343.692 4371666.489,729352.379 4371790.989,729358.004 4371871.489)";27990;31;59;32;64;C;ERNESTO ANASTASIO;205.49902;C. ERNESTO ANASTASIO
"LINESTRING (728774.198 4371666.531,728667.632 4371704.699)";39540;17;27;14;28;C;JUAN BAUTISTA PERALES;116.99472;C. JUAN BAUTISTA PERALES
"LINESTRING (728774.198 4371666.531,728796.823 4371727.53)";38610;25;27;30;38;C;JOSE AGUILAR;65.06067;C. JOSE AGUILAR
"LINESTRING (724930.706 4371667.115,724890.393 4371736.115,724864.769 4371780.615)";66450;9;17;8;18;C;SALAS QUIROGA;131.26373;C. SALAS QUIROGA
"LINESTRING (725023.706 4371720.114,724930.706 4371667.115)";46380;1;9;2;12;C;MARQUES DE ZENETE;107.04205;C. MARQUES DE ZENETE
"LINESTRING (727997.471 4372295.813,727968.647 4372185.73599999957)";24420;41;41;0;0;C;DOCTOR MANUEL CANDELA;0.00000;C. DOCTOR MANUEL CANDELA
"LINESTRING (727961.458 4371714.092,728074.631 4371678.78199999966)";37470;113;129;80;88;C;ISLAS CANARIAS;152.80630;C. ISLAS CANARIAS
"LINESTRING (728107.331 4371668.581,728117.206 4371698.58)";25680;0;0;0;0;AV;PUERTO;31.58347;AV. PUERTO
"LINESTRING (725330.581 4371685.113,725385.581 4371669.61199999973)";27870;7;13;2;4;C;ERMITA;57.14237;C. ERMITA
"LINESTRING (725407.644 4371742.61199999973,725390.393 4371685.61199999973,725385.581 4371669.61199999973)";20550;37;47;30;44;C;CONVENTO DE JERUSALEN;76.26111;C. CONVENTO DE JERUSALEN
"LINESTRING (723890.392 4371669.621,723868.58 4371674.121,723813.142 4371685.121)";81113;1;1;2;8;C;CASILDA CASTELLVI;78.79013;C. CASILDA CASTELLVI
"LINESTRING (722988.266 4371673.626,722956.39 4371669.627)";28620;0;0;2;2;C;ESCULTOR SALZILLO;32.12500;C. ESCULTOR SALZILLO
"LINESTRING (728969.508 4371670.017,728982.258 4371704.51599999983)";43620;31;33;26;26;C;MADERAS;36.78060;C. MADERAS
"LINESTRING (723104.456 4371852.12299999967,723125.141 4371670.125)";73920;0;0;8;10;AV;TRES CRUCES;183.17198;AV. TRES CRUCES
"LINESTRING (727180.742 4371718.31,727191.083 4371695.102,727197.958 4371679.102,727201.645 4371670.602)";58710;0;0;0;0;PSO;ALAMEDA;63.10928;PSO. ALAMEDA
"LINESTRING (723178.081 4371835.62299999967,723190.392 4371699.62399999984,723194.266 4371671.12399999984)";73920;31;41;0;0;AV;TRES CRUCES;165.31843;AV. TRES CRUCES
"LINESTRING (733008.659 4354445.194,732988.446 4354423.55599999987)";46350;1;1;25;26;GRUP;MARQUES DE VALLTERRA;0.00000;GRUP. MARQUES DE VALLTERRA
"LINESTRING (733286.047 4354360.696,733157.677 4354253.88499999978)";81668;1;27;2;22;C;LLEBEIG;0.00000;C. LLEBEIG
"LINESTRING (726648.583 4371771.105,726682.645 4371791.105,726746.77 4371828.604)";12600;33;41;34;42;C;BURRIANA;113.78508;C. BURRIANA
"LINESTRING (727699.526 4373168.096,727713.761 4373215.24)";65880;15;15;22;24;C;RUBEN DARIO;0.00000;C. RUBEN DARIO
"LINESTRING (729532.877 4371773.47499999963,729523.877 4371775.97599999979,729527.065 4371790.97599999979,729530.065 4371804.97599999979)";18030;0;0;6;8;C;MAESTRA PILAR HERNANDEZ;38.99352;C. MAESTRA PILAR HERNANDEZ
"LINESTRING (723499.143 4371773.622,723409.081 4371791.122,723390.393 4371794.622,723365.268 4371799.622)";51420;41;41;6;6;C;MUSICO AYLLON;136.37707;C. MUSICO AYLLON
"LINESTRING (723512.018 4371843.621,723502.331 4371791.122,723499.143 4371773.622)";72090;7;7;0;0;C;SUMACARCEL;71.17423;C. SUMACARCEL
"LINESTRING (722928.08 4371799.126,722930.579 4371775.126)";23910;12;12;16;16;PL;DOCTOR BERENGUER FERRER;24.12986;PL. DOCTOR BERENGUER FERRER
"LINESTRING (722930.579 4371775.126,722977.455 4371778.626)";23910;0;0;0;0;PL;DOCTOR BERENGUER FERRER;47.00549;PL. DOCTOR BERENGUER FERRER
"LINESTRING (724864.769 4371780.615,724877.582 4371778.115,724880.207 4371782.114)";53280;5;5;0;0;PL;OBISPO AMIGO;17.83854;PL. OBISPO AMIGO
"LINESTRING (722974.142 4371804.126,722977.455 4371778.626)";32580;3;5;4;4;C;GARZA IMPERIAL;25.71425;C. GARZA IMPERIAL
"LINESTRING (726331.761 4371878.44199999981,726380.895 4371791.10599999968,726387.395 4371780.10599999968)";2850;1;11;2;12;C;ALMIRANTE CADARSO;112.60289;C. ALMIRANTE CADARSO
"LINESTRING (726387.395 4371780.10599999968,726390.395 4371781.60599999968,726406.395 4371791.10599999968,726483.02 4371835.60599999968)";19920;17;23;20;28;C;CONDE DE ALTEA;110.57138;C. CONDE DE ALTEA
"LINESTRING (725236.541 4371778.043,725267.294 4371774.773)";81467;1;1;0;0;PL;ESPAÑA;37.16517;PL. ESPAÑA
"LINESTRING (725312.207 4371854.61199999973,725290.394 4371815.11199999973,725277.207 4371791.11199999973,725267.294 4371774.773)";69330;91;99;110;116;C;SAN VICENTE MARTIR;85.03690;C. SAN VICENTE MARTIR
"LINESTRING (724864.769 4371780.615,724824.644 4371787.615)";53280;6;8;0;0;PL;OBISPO AMIGO;40.73102;PL. OBISPO AMIGO
"LINESTRING (724867.019 4371809.114,724881.832 4371784.614,724880.207 4371782.114)";53280;3;4;0;0;PL;OBISPO AMIGO;31.61142;PL. OBISPO AMIGO
"LINESTRING (723015.518 4371841.625,723022.392 4371782.125)";80370;1;1;2;6;C;VIRGEN DE LA FUENSANTA;59.89587;C. VIRGEN DE LA FUENSANTA
"LINESTRING (729010.258 4371782.514,729030.932 4371845.609)";43620;0;0;44;48;C;MADERAS;40.12188;C. MADERAS
"LINESTRING (728262.955 4371814.569,728330.391 4371791.064,728354.703 4371782.562)";10800;1;3;2;8;C;BERENGUER MALLOL;97.17029;C. BERENGUER MALLOL
"LINESTRING (728354.703 4371782.562,728357.703 4371791.062,728380.39 4371854.56)";35070;19;35;20;32;C;GUILLEM DE ANGLESOLA;76.44512;C. GUILLEM DE ANGLESOLA
"LINESTRING (726885.021 4371887.603,726939.645 4371783.103)";37650;0;0;0;0;AV;JACINTO BENAVENTE;117.91582;AV. JACINTO BENAVENTE
"LINESTRING (725236.541 4371778.043,725196.644 4371847.61199999973)";62670;0;0;16;22;G.V.;RAMON Y CAJAL;74.20877;G.V. RAMON Y CAJAL
"LINESTRING (725489.457 4371801.11099999957,725491.332 4371800.61099999957,725523.394 4371791.11099999957,725540.019 4371786.11099999957)";47220;23;29;22;26;C;MATEMATICO MARZAL;52.74143;C. MATEMATICO MARZAL
"LINESTRING (725592.083 4371963.11,725540.019 4371786.11099999957)";8040;1;3;2;24;C;BAILEN;184.49798;C. BAILEN
"LINESTRING (728493.077 4371734.552,728517.077 4371807.05)";48690;1;7;0;0;C;MIRAMBELL;76.36917;C. MIRAMBELL
"LINESTRING (722933.829 4371737.627,722898.829 4371734.627)";23910;0;0;0;0;PL;DOCTOR BERENGUER FERRER;35.12834;PL. DOCTOR BERENGUER FERRER
"LINESTRING (729677.875 4371738.46399999969,729681.313 4371737.96399999969,729708.688 4371735.462,729713.438 4371734.962)";36870;19;21;16;16;C;IGLESIA DEL ROSARIO;35.73883;C. IGLESIA DEL ROSARIO
"LINESTRING (729713.438 4371734.962,729717.75 4371790.962,729721.875 4371843.962)";9000;21;49;20;46;C;BARRACA;109.32609;C. BARRACA
"LINESTRING (728940.853 4371751.519,728992.071 4371735.01499999966)";38190;0;0;0;0;C;JERONIMO DE MONSORIU;88.05416;C. JERONIMO DE MONSORIU
"LINESTRING (728992.071 4371735.01499999966,729010.258 4371782.514)";43620;43;43;0;0;C;MADERAS;50.86291;C. MADERAS
"LINESTRING (727328.809 4371710.513,727301.958 4371628.602,727283.372 4371608.582)";26190;23;33;30;34;C;EDUARDO BOSCA;120.27765;C. EDUARDO BOSCA
"LINESTRING (722919.827 4371544.62899999972,722946.139 4371547.12799999956)";51180;0;0;11;11;PL;MURCIA;26.43100;PL. MURCIA
"LINESTRING (723996.016 4371618.12,723992.459 4371599.32699999958,723932.591 4371611.369)";80300;1;15;2;16;C;MATRIMONIO ALCANTARA RIOS;75.65253;C. MATRIMONIO ALCANTARA RIOS
"LINESTRING (724840.837 4373414.937,724766.031 4373358.41199999955)";47760;0;0;9;11;AV;MENENDEZ PIDAL;0.00000;AV. MENENDEZ PIDAL
"LINESTRING (724991.717 4373516.221,725089.035 4373360.24899999984)";81687;0;0;0;0;LUG;PUENTE DE LAS ARTES;0.00000;LUG. PUENTE DE LAS ARTES
"LINESTRING (724820.767 4371604.116,724766.581 4371694.116)";36060;11;17;10;18;C;HONORATO JUAN;105.05373;C. HONORATO JUAN
"LINESTRING (724930.706 4371667.115,724890.392 4371644.115,724820.767 4371604.116)";46380;11;23;14;20;C;MARQUES DE ZENETE;126.70946;C. MARQUES DE ZENETE
"LINESTRING (728323.265 4371625.565,728382.703 4371604.56)";25680;141;147;174;186;AV;PUERTO;63.03821;AV. PUERTO
"LINESTRING (728382.703 4371604.56,728390.39 4371626.56,728410.764 4371684.058)";20400;1;5;2;2;C;CONSERVA;84.30766;C. CONSERVA
"LINESTRING (729165.694 4371608.002,729191.819 4371605.0)";31110;5;5;6;6;C;FRANCISCO CUBELLS;26.29668;C. FRANCISCO CUBELLS
"LINESTRING (729191.819 4371605.0,729205.569 4371682.49899999984)";77070;25;25;32;32;C;VIRGEN DEL PUIG;78.71031;C. VIRGEN DEL PUIG
"LINESTRING (727979.036 4371349.838,727938.102 4371184.454)";81600;1;7;0;0;C;ALFRED TORAN I OLMOS (ESCULTOR);0.00000;C. ALFRED TORAN I OLMOS (ESCULTOR)
"LINESTRING (728864.447 4371636.524,728946.946 4371606.518)";56310;1;9;2;8;C;PEAÑA;87.78525;C. PEAÑA
"LINESTRING (728946.946 4371606.518,728969.508 4371670.017)";43620;21;29;0;0;C;MADERAS;67.38929;C. MADERAS
"LINESTRING (724368.205 4371606.61799999978,724267.08 4371634.619)";45660;21;27;14;20;C;MARIANO RIBERA;104.92981;C. MARIANO RIBERA
"LINESTRING (725259.206 4371704.113,725237.893 4371709.613)";81467;5;5;0;0;PL;ESPAÑA;22.01074;PL. ESPAÑA
"LINESTRING (726976.978 4373850.524,726980.708 4373860.775)";25170;0;0;0;0;C;DOCTOR VICENTE ZARAGOZA;0.00000;C. DOCTOR VICENTE ZARAGOZA
"LINESTRING (726450.672 4375016.70799999963,726439.621 4375027.506)";81163;0;0;0;0;C;CALATAYUD;0.00000;C. CALATAYUD
"LINESTRING (724950.846 4373588.104,725091.356 4373596.096,725102.032 4373590.40699999966,725106.247 4373583.619)";74760;5;9;2;16;C;VALLE DE LAGUAR;0.00000;C. VALLE DE LAGUAR
"LINESTRING (728044.431 4371158.814,728079.058 4371302.609,728083.062 4371315.524)";81543;23;23;10;16;C;VICENTE BELTRAN GRIMAL (ESCULTOR);0.00000;C. VICENTE BELTRAN GRIMAL (ESCULTOR)
"LINESTRING (725263.643 4371733.613,725259.206 4371704.113)";81467;0;0;0;0;PL;ESPAÑA;29.83189;PL. ESPAÑA
"LINESTRING (724466.768 4371704.11699999962,724424.268 4371725.11699999962)";22740;21;21;22;24;C;CHIVA;47.40517;C. CHIVA
"LINESTRING (724563.025 4371764.389,724466.768 4371704.11699999962)";31200;1;9;2;14;C;FRANCISCO DE LLANO;117.76581;C. FRANCISCO DE LLANO
"LINESTRING (728892.447 4371715.023,728982.258 4371704.51599999983)";31050;25;43;36;42;C;FRANCISCO DE BELLVIS;90.42420;C. FRANCISCO DE BELLVIS
"LINESTRING (728982.258 4371704.51599999983,728992.071 4371735.01499999966)";43620;35;35;0;0;C;MADERAS;32.03959;C. MADERAS
"LINESTRING (728351.765 4371704.563,728321.141 4371715.065)";62880;0;0;22;22;C;RAMON MARQUET;32.37500;C. RAMON MARQUET
"LINESTRING (724730.469 4373416.16299999971,724766.031 4373358.41199999955)";64290;1;1;2;2;C;RICARDO MICO;0.00000;C. RICARDO MICO
"LINESTRING (728667.632 4371704.699,728679.012 4371748.53799999971)";44250;23;25;20;20;C;MAESTRO VALLS;45.04863;C. MAESTRO VALLS
"LINESTRING (725237.893 4371709.613,725200.456 4371719.113)";81467;5;6;0;0;PL;ESPAÑA;38.62404;PL. ESPAÑA
"LINESTRING (725660.144 4371827.11,725728.144 4371710.61)";17250;1;9;2;12;C;CASTELLON;134.89348;C. CASTELLON
"LINESTRING (725728.144 4371710.61,725744.082 4371721.11,725748.707 4371718.61)";33390;1;3;0;0;C;GENERAL SAN MARTIN;24.34287;C. GENERAL SAN MARTIN
"LINESTRING (728010.519 4371736.088,728078.768 4371712.08299999963)";25680;101;109;142;148;AV;PUERTO;72.34682;AV. PUERTO
"LINESTRING (728078.768 4371712.08299999963,728098.143 4371791.081,728116.643 4371867.08)";41340;1;17;2;20;C;LEONES;159.56044;C. LEONES
"LINESTRING (725466.957 4371726.61199999973,725468.269 4371726.11199999973,725518.268 4371712.61099999957)";40320;23;23;24;28;C;JULIO ANTONIO;53.19496;C. JULIO ANTONIO
"LINESTRING (725540.019 4371786.11099999957,725518.268 4371712.61099999957)";8040;5;5;26;34;C;BAILEN;76.65059;C. BAILEN
"LINESTRING (727866.023 4371750.558,727879.021 4371742.95,727890.396 4371739.097,727961.458 4371714.092)";37470;93;113;78;78;C;ISLAS CANARIAS;123.55897;C. ISLAS CANARIAS
"LINESTRING (727328.809 4371710.513,727284.237 4371726.10099999979)";58890;1;1;2;2;C;PINTOR MONLEON;106.97729;C. PINTOR MONLEON
"LINESTRING (727362.959 4371808.60099999979,727357.145 4371791.10099999979,727328.809 4371710.513)";26190;13;21;20;28;C;EDUARDO BOSCA;99.67129;C. EDUARDO BOSCA
"LINESTRING (723667.892 4371714.621,723631.642 4371722.122)";81113;9;9;18;18;C;CASILDA CASTELLVI;37.01773;C. CASILDA CASTELLVI
"LINESTRING (728796.823 4371727.53,728892.447 4371715.023)";31050;0;0;16;26;C;FRANCISCO DE BELLVIS;96.43853;C. FRANCISCO DE BELLVIS
"LINESTRING (728892.447 4371715.023,728908.259 4371762.02199999988)";35730;0;0;44;48;C;HIERROS;49.58866;C. HIERROS
"LINESTRING (728493.077 4371734.552,728548.513 4371715.048)";10800;23;23;42;52;C;BERENGUER MALLOL;58.76705;C. BERENGUER MALLOL
"LINESTRING (728548.513 4371715.048,728573.263 4371787.046)";37050;0;0;20;32;C;INDUSTRIA;76.13516;C. INDUSTRIA
"LINESTRING (726344.788 4374977.59399999958,726361.924 4374996.06699999981,726389.512 4374973.227)";81164;1;3;0;0;C;ESTEBAN DOLZ DEL CASTELLAR;0.00000;C. ESTEBAN DOLZ DEL CASTELLAR
"LINESTRING (726483.02 4371835.60599999968,726509.27 4371791.10599999968,726553.707 4371715.10599999968)";38430;15;33;14;30;C;JOAQUIN COSTA;139.70340;C. JOAQUIN COSTA
"LINESTRING (726553.707 4371715.10599999968,726648.583 4371771.105)";12600;23;31;24;32;C;BURRIANA;110.16926;C. BURRIANA
"LINESTRING (729957.81 4371719.943,729963.122 4371719.443,729964.31 4371719.443,730005.747 4371715.44)";9540;1;3;2;4;C;BEGIS;48.15359;C. BEGIS
"LINESTRING (730008.622 4371738.94,730005.935 4371718.94,730005.747 4371715.44)";50010;3;3;0;0;C;MONTANEJOS;23.68478;C. MONTANEJOS
"LINESTRING (725794.958 4371911.609,725748.707 4371718.61)";24960;1;33;2;12;PJE;DOCTOR SERRA;198.46426;PJE. DOCTOR SERRA
"LINESTRING (725200.456 4371719.113,725071.831 4371744.114)";58380;3;13;2;10;C;PINTOR BENEDITO;131.03202;C. PINTOR BENEDITO
"LINESTRING (725200.456 4371719.113,725216.911 4371740.77699999977)";81467;7;8;0;0;PL;ESPAÑA;29.91263;PL. ESPAÑA
"LINESTRING (729957.81 4371719.943,729961.247 4371744.943)";49980;0;0;4;4;C;MONTAN;25.23522;C. MONTAN
"LINESTRING (725023.706 4371720.114,725000.581 4371757.614)";67710;1;3;0;0;C;SAN FRANCISCO DE BORJA;44.05696;C. SAN FRANCISCO DE BORJA
"LINESTRING (733008.659 4354445.194,732981.162 4354471.352)";46350;2;5;9;7;GRUP;MARQUES DE VALLTERRA;0.00000;GRUP. MARQUES DE VALLTERRA
"LINESTRING (726350.188 4374927.122,726322.71 4374950.19099999964)";81164;0;0;0;0;C;ESTEBAN DOLZ DEL CASTELLAR;0.00000;C. ESTEBAN DOLZ DEL CASTELLAR
"LINESTRING (723636.267 4371747.621,723631.642 4371722.122)";69810;11;11;0;0;C;SANTA CRUZ DE TENERIFE;25.91603;C. SANTA CRUZ DE TENERIFE
"LINESTRING (729803.124 4371726.455,729807.187 4371726.455,729875.118 4371721.22)";36870;29;29;24;24;C;IGLESIA DEL ROSARIO;57.52485;C. IGLESIA DEL ROSARIO
"LINESTRING (722982.391 4371724.126,722988.266 4371673.626)";32580;13;15;10;10;C;GARZA IMPERIAL;50.84059;C. GARZA IMPERIAL
"LINESTRING (724088.332 4371841.11799999978,724145.955 4371675.119)";27570;13;27;2;2;C;ENGUERA;175.71750;C. ENGUERA
"LINESTRING (724257.706 4371805.61799999978,724254.331 4371801.61799999978,724245.331 4371791.11799999978,724183.692 4371719.4,724174.645 4371708.443,724169.163 4371701.87)";6390;15;33;8;18;C;ARCHIDUQUE CARLOS;171.81154;C. ARCHIDUQUE CARLOS
"LINESTRING (729205.569 4371682.49899999984,729265.755 4371675.495)";45630;7;11;6;6;C;MARIANO CUBER;60.59319;C. MARIANO CUBER
"LINESTRING (729265.755 4371675.495,729285.318 4371790.994,729294.38 4371844.49299999978)";6510;41;55;36;56;C;ARQUITECTO ALFARO;171.40709;C. ARQUITECTO ALFARO
"LINESTRING (725259.206 4371704.113,725255.081 4371677.113)";69330;0;0;0;0;C;SAN VICENTE MARTIR;27.31329;C. SAN VICENTE MARTIR
"LINESTRING (725748.707 4371718.61,725898.051 4371683.315)";33390;5;19;2;24;C;GENERAL SAN MARTIN;173.96301;C. GENERAL SAN MARTIN
"LINESTRING (725869.082 4371794.109,725911.955 4371696.724)";66090;17;29;16;28;C;RUZAFA;126.26449;C. RUZAFA
"LINESTRING (728548.513 4371715.048,728585.55 4371702.23099999968)";10800;25;31;54;56;C;BERENGUER MALLOL;112.10821;C. BERENGUER MALLOL
"LINESTRING (727985.436 4372181.03,727968.647 4372185.73599999957)";24420;0;0;0;0;C;DOCTOR MANUEL CANDELA;0.00000;C. DOCTOR MANUEL CANDELA
"LINESTRING (726159.719 4371776.78199999966,726216.644 4371680.108)";46470;1;9;2;14;C;MARTI;113.81351;C. MARTI
"LINESTRING (726216.644 4371680.108,726301.269 4371729.60699999984)";19920;1;7;2;10;C;CONDE DE ALTEA;98.03898;C. CONDE DE ALTEA
"LINESTRING (729521.814 4371735.363,729522.252 4371694.97599999979,729522.44 4371680.97499999963)";10;1;9;2;10;C;ABADIA DEL ROSARIO;58.00410;C. ABADIA DEL ROSARIO
"LINESTRING (729186.131 4371685.001,729205.569 4371682.49899999984)";45630;0;0;4;4;C;MARIANO CUBER;19.59761;C. MARIANO CUBER
"LINESTRING (728410.764 4371684.058,728390.39 4371691.06,728358.015 4371702.062)";62880;9;15;16;20;C;RAMON MARQUET;55.73662;C. RAMON MARQUET
"LINESTRING (728410.764 4371684.058,728435.827 4371754.55599999987)";20400;7;17;4;10;C;CONSERVA;74.82232;C. CONSERVA
"LINESTRING (728117.206 4371698.58,728158.267 4371684.07699999958)";25680;117;119;0;0;AV;PUERTO;43.54743;AV. PUERTO
"LINESTRING (728158.267 4371684.07699999958,728193.727 4371780.805)";57540;1;7;2;8;C;PERIS BRELL;159.40399;C. PERIS BRELL
"LINESTRING (724140.861 4369938.494,724140.428 4369928.64099999983,724142.105 4369918.584)";73920;0;0;0;0;AV;TRES CRUCES;0.00000;AV. TRES CRUCES
"LINESTRING (725284.768 4371697.613,725290.393 4371696.113,725296.581 4371694.613,725299.768 4371693.613,725301.643 4371693.113,725330.581 4371685.113)";27870;1;3;0;0;C;ERMITA;47.49246;C. ERMITA
"LINESTRING (725351.957 4371758.11199999973,725330.581 4371685.113)";29100;7;15;14;22;C;ESTRELLA;76.06504;C. ESTRELLA
"LINESTRING (723813.142 4371685.121,723667.892 4371714.621)";81113;3;5;10;16;C;CASILDA CASTELLVI;148.21543;C. CASILDA CASTELLVI
"LINESTRING (729075.57 4371695.50899999961,729158.944 4371688.50299999956)";38190;83;85;90;96;C;JERONIMO DE MONSORIU;83.66834;C. JERONIMO DE MONSORIU
"LINESTRING (729173.298 4371686.451,729211.266 4371778.968,729229.369 4371841.427)";71130;0;0;14;18;C;SERRERIA;165.52649;C. SERRERIA
"LINESTRING (724140.861 4369938.494,724151.499 4369955.12399999984)";73920;0;0;0;0;AV;TRES CRUCES;0.00000;AV. TRES CRUCES
"LINESTRING (730004.31 4371691.439,729962.747 4371696.443)";6690;1;3;0;0;C;ARQUITECTO GUASTAVINO;41.86217;C. ARQUITECTO GUASTAVINO
"LINESTRING (730005.747 4371715.44,730004.31 4371691.439)";50010;1;1;0;0;C;MONTANEJOS;24.04301;C. MONTANEJOS
"LINESTRING (725023.706 4371720.114,725039.893 4371693.614)";38250;0;0;0;0;C;JESUS;31.05294;C. JESUS
"LINESTRING (725071.831 4371744.114,725039.893 4371693.614)";38250;41;47;0;0;C;JESUS;59.75160;C. JESUS
"LINESTRING (726746.77 4371828.604,726768.833 4371791.104,726825.708 4371694.104)";66420;29;43;24;40;C;SALAMANCA;155.95316;C. SALAMANCA
"LINESTRING (726825.708 4371694.104,726890.395 4371731.604,726922.145 4371749.603)";63360;35;41;30;34;C;REINA DOÑA GERMANA;111.26857;C. REINA DOÑA GERMANA
"LINESTRING (724766.581 4371694.116,724709.207 4371791.115,724692.207 4371819.615)";1320;1;19;2;14;C;ALBERIQUE;145.88332;C. ALBERIQUE
"LINESTRING (724824.644 4371787.615,724766.581 4371694.116)";22020;39;49;48;56;C;CUENCA;110.06136;C. CUENCA
"LINESTRING (728982.258 4371704.51599999983,729075.57 4371695.50899999961)";38190;0;0;78;88;C;JERONIMO DE MONSORIU;93.74552;C. JERONIMO DE MONSORIU
"LINESTRING (725560.397 4371427.461,725589.622 4371443.707)";33630;53;57;0;0;G.V.;GERMANIAS;0.00000;G.V. GERMANIAS
"LINESTRING (729075.57 4371695.50899999961,729098.57 4371751.507)";81391;0;0;2;2;C;ALCALDE CANO COLOMA;60.53924;C. ALCALDE CANO COLOMA
"LINESTRING (722808.515 4371761.12799999956,722810.903 4371744.06,722816.89 4371695.62899999972)";16230;7;9;16;18;C;CASA MISERICORDIA;66.03375;C. CASA MISERICORDIA
"LINESTRING (729962.747 4371696.443,729957.81 4371719.943)";49980;0;0;2;2;C;MONTAN;24.01310;C. MONTAN
"LINESTRING (725284.768 4371697.613,725263.643 4371733.613)";62670;0;0;12;12;G.V.;RAMON Y CAJAL;41.74046;G.V. RAMON Y CAJAL
"LINESTRING (728078.768 4371712.08299999963,728117.206 4371698.58)";25680;111;111;0;0;AV;PUERTO;40.73931;AV. PUERTO
"LINESTRING (727447.458 4371738.6,727493.645 4371698.6)";7470;13;17;22;22;C;ASTURIAS;61.10062;C. ASTURIAS
"LINESTRING (727544.084 4371840.6,727526.521 4371791.1,727493.645 4371698.6)";5430;1;33;2;30;C;ANDRES MANCEBO;150.69155;C. ANDRES MANCEBO
"LINESTRING (728358.015 4371702.062,728351.765 4371704.563)";62880;17;17;0;0;C;RAMON MARQUET;6.73146;C. RAMON MARQUET
"LINESTRING (728358.015 4371702.062,728375.64 4371750.56099999975)";58200;1;7;2;10;C;PILES;51.60320;C. PILES
"LINESTRING (725821.708 4371906.109,725869.082 4371794.109)";66090;1;15;2;14;C;RUZAFA;121.60753;C. RUZAFA
"LINESTRING (725869.082 4371794.109,725890.394 4371806.609,725909.145 4371817.609)";18540;1;3;2;4;C;CIRILO AMOROS;46.44625;C. CIRILO AMOROS
"LINESTRING (724816.332 4371795.115,724692.207 4371819.615)";68130;1;11;2;16;C;SAN JOSE DE CALASANZ;126.51982;C. SAN JOSE DE CALASANZ
"LINESTRING (724816.332 4371795.115,724834.582 4371831.114)";53280;10;11;0;0;PL;OBISPO AMIGO;40.36165;PL. OBISPO AMIGO
"LINESTRING (728577.888 4371800.546,728586.013 4371798.545,728593.013 4371796.045)";29580;0;0;0;0;PL;FEDERICO MAYO;15.80057;PL. FEDERICO MAYO
"LINESTRING (728593.013 4371796.045,728607.263 4371835.54399999976)";29580;1;2;0;0;PL;FEDERICO MAYO;41.99181;PL. FEDERICO MAYO
"LINESTRING (722510.764 4371840.632,722513.237 4371795.319)";81300;1;1;2;2;C;GENERAL BASSET;42.60575;C. GENERAL BASSET
"LINESTRING (724946.754 4369935.125,724952.288 4369927.756,724949.061 4369909.489,724943.953 4369910.69699999969,724939.92 4369894.042,724925.191 4369896.625)";75480;1;6;0;0;PL;VICARIO FERRER;0.00000;PL. VICARIO FERRER
"LINESTRING (722924.705 4371831.126,722928.08 4371799.126)";23910;13;13;0;0;PL;DOCTOR BERENGUER FERRER;32.17749;PL. DOCTOR BERENGUER FERRER
"LINESTRING (722928.08 4371799.126,722974.142 4371804.126)";23910;14;14;0;0;PL;DOCTOR BERENGUER FERRER;46.33308;PL. DOCTOR BERENGUER FERRER
"LINESTRING (723365.268 4371799.622,723364.331 4371799.622,723308.768 4371810.62299999967)";51420;0;0;8;8;C;MUSICO AYLLON;57.57840;C. MUSICO AYLLON
"LINESTRING (723378.644 4371871.622,723365.268 4371799.622)";38970;7;7;16;16;C;JOSE MAESTRE;73.23176;C. JOSE MAESTRE
"LINESTRING (728577.888 4371800.546,728591.701 4371841.545)";37050;25;31;36;38;C;INDUSTRIA;43.26413;C. INDUSTRIA
"LINESTRING (725430.582 4371819.11099999957,725489.457 4371801.11099999957)";47220;15;21;16;20;C;MATEMATICO MARZAL;61.56513;C. MATEMATICO MARZAL
"LINESTRING (725541.895 4371975.61,725489.457 4371801.11099999957)";56820;1;21;2;24;C;PELAYO;182.20851;C. PELAYO
"LINESTRING (729388.941 4371660.985,729390.378 4371684.485,729396.879 4371790.98599999957,729401.567 4371868.48599999957)";30990;23;49;30;54;C;FRANCISCO BALDOMA;207.88373;C. FRANCISCO BALDOMA
"LINESTRING (723925.517 4371662.62,723921.267 4371663.62,723890.392 4371669.621)";80320;5;5;0;0;C;CARMEN TRONCHONI;35.81866;C. CARMEN TRONCHONI
"LINESTRING (722898.829 4371734.627,722907.828 4371664.12799999956)";42900;1;5;2;6;C;LUIS FENOLLET;71.07215;C. LUIS FENOLLET
"LINESTRING (722956.39 4371669.627,722907.828 4371664.12799999956)";28620;1;3;6;8;C;ESCULTOR SALZILLO;48.87296;C. ESCULTOR SALZILLO
"LINESTRING (727493.645 4371698.6,727532.208 4371665.6)";7470;19;27;26;26;C;ASTURIAS;50.75496;C. ASTURIAS
"LINESTRING (727590.521 4371832.099,727576.146 4371791.1,727532.208 4371665.6)";38910;3;43;4;44;C;JOSE FAUS;176.41598;C. JOSE FAUS
"LINESTRING (724025.517 4371665.62,724006.08 4371670.12,723890.392 4371695.62,723636.267 4371747.621)";51420;5;35;2;2;C;MUSICO AYLLON;397.80681;C. MUSICO AYLLON
"LINESTRING (728158.267 4371684.07699999958,728209.392 4371666.07299999986)";25680;121;123;150;152;AV;PUERTO;54.20116;AV. PUERTO
"LINESTRING (726381.749 4373896.88399999961,726382.587 4373906.388)";14470;0;0;0;0;C;MOLINELL;0.00000;C. MOLINELL
