"","ciudad","TVIA","NVIA","Latitud","longitud","NOMBRE"
"912","Madrid","TRVA ","RONDA                                             ","36,74196","-5,166412","Andalucía"
"913","Madrid","CALLE","TORROX                                            ","36,75845","-3,952617","Andalucía"
"914","Madrid","CALLE","DOS HERMANAS                                      ","37,28318","-5,922242","Andalucía"
"915","Madrid","CALLE","ESPARTINAS                                        ","37,37997","-6,123577","Andalucía"
"916","Madrid","CALLE","GILENA                                            ","37,25134","-4,913494","Andalucía"
"917","Madrid","CALLE","HERRERA                                           ","37,36176","-4,850014","Andalucía"
"918","Madrid","TRVA ","HERRERA                                           ","37,36176","-4,850014","Andalucía"
"919","Madrid","CALLE","ABIZANDA                                          ","42,24253","0,1962168","Aragón"
"920","Madrid","CALLE","BENASQUE                                          ","42,60514","0,5239731","Aragón"
"921","Madrid","CALLE","CAMPO                                             ","42,40875","0,3940125","Aragón"
"922","Madrid","CALLE","HUESCA                                            ","42,1401","-0,408898","Aragón"
"923","Madrid","CALLE","PEÑALBA                                           ","41,50001","-0,0384445","Aragón"
"924","Madrid","CALLE","VERACRUZ                                          ","42,38238","0,610943","Aragón"
"925","Madrid","CALLE","ABEJUELA                                          ","39,91035","-0,8941151","Aragón"
"926","Madrid","CALLE","ALCORISA                                          ","40,89169","-0,3806293","Aragón"
"927","Madrid","CALLE","ALIAGA                                            ","40,67419","-0,7019678","Aragón"
"928","Madrid","CALLE","ARGENTE                                           ","40,68888","-1,163326","Aragón"
"929","Madrid","CALLE","CALAMOCHA                                         ","40,92026","-1,300972","Aragón"
"930","Madrid","CALLE","CALANDA                                           ","40,94182","-0,2341148","Aragón"
"931","Madrid","CALLE","CAMARILLAS                                        ","40,61241","-0,7541127","Aragón"
"932","Madrid","CALLE","SANTA EULALIA                                     ","40,56639","-1,312636","Aragón"
"933","Madrid","CLLON","SANTA EULALIA                                     ","40,56639","-1,312636","Aragón"
"934","Madrid","CALLE","TERUEL                                            ","40,34411","-1,10691","Aragón"
"935","Madrid","CALLE","UTRILLAS                                          ","40,81327","-0,843052","Aragón"
"936","Madrid","CALLE","VALDELINARES                                      ","40,3917","-0,6063926","Aragón"
"937","Madrid","CALLE","VILLASTAR                                         ","40,28053","-1,152892","Aragón"
"938","Madrid","CALLE","BORJA                                             ","41,83517","-1,531878","Aragón"
"939","Madrid","CALLE","BUBIERCA                                          ","41,31425","-1,855994","Aragón"
"940","Madrid","CALLE","CALATAYUD                                         ","41,35432","-1,647009","Aragón"
"941","Madrid","CALLE","CASPE                                             ","41,234","-0,0440777","Aragón"
"942","Madrid","CALLE","FUENDETODOS                                       ","41,34285","-0,9598514","Aragón"
"943","Madrid","CALLE","GALLUR                                            ","41,86982","-1,31786","Aragón"
