"","ciudad","TVIA","origen","Latitud","longitud","comunidad"
"177","Barcelona","C    ","Sant Cugat del Vallès","41,47186","2,082139","Cataluña"
"178","Barcelona","AV   ","Sant Cugat del Vallès","41,47186","2,082139","Cataluña"
"179","Barcelona","CTRA ","Sant Cugat Sesgarrigues","41,36441","1,753613","Cataluña"
"180","Barcelona","AV   ","Sant Cugat Sesgarrigues","41,36441","1,753613","Cataluña"
"181","Barcelona","C    ","Sant Esteve de Palautordera","41,70347","2,435386","Cataluña"
"182","Barcelona","C    ","Sant Feliu de Codines","41,68893","2,164804","Cataluña"
"183","Barcelona","C    ","Sant Feliu de Llobregat","41,38094","2,045171","Cataluña"
"184","Barcelona","C    ","Sant Fost de Campsentelles","41,51452","2,234791","Cataluña"
"185","Barcelona","C    ","Sant Fruitós de Bages","41,74952","1,872885","Cataluña"
"186","Barcelona","C    ","Sant Hipòlit de Voltregà","42,01554","2,236254","Cataluña"
"187","Barcelona","AV   ","Sant Iscle de Vallalta","41,62377","2,569127","Cataluña"
"188","Barcelona","C    ","Sant Joan de Vilatorrada","41,74549","1,805543","Cataluña"
"189","Barcelona","AV   ","Sant Joan Despí","41,36769","2,056065","Cataluña"
"190","Barcelona","C    ","Sant Llorenç Savall","41,67982","2,05931","Cataluña"
"191","Barcelona","C    ","Sant Martí Sarroca","41,38578","1,611423","Cataluña"
"192","Barcelona","C    ","Sant Pere de Ribes","41,2591","1,775418","Cataluña"
"193","Barcelona","C    ","Sant Pere de Torelló","42,07564","2,296003","Cataluña"
"194","Barcelona","C    ","Sant Quintí de Mediona","41,46383","1,666462","Cataluña"
"195","Barcelona","C    ","Sant Quirze del Vallès","41,5308","2,086581","Cataluña"
"196","Barcelona","CTRA ","Sant Quirze Safaja","41,72732","2,153063","Cataluña"
"197","Barcelona","C    ","Sant Sadurní d'Anoia","41,42535","1,785673","Cataluña"
"198","Barcelona","C    ","Sant Salvador de Guardiola","41,6806","1,767125","Cataluña"
"199","Barcelona","C    ","Sant Vicenç de Castellet","41,66581","1,863849","Cataluña"
"200","Barcelona","C    ","Sant Vicenç de Torelló","42,06234","2,272757","Cataluña"
"201","Barcelona","AV   ","Sant Vicenç dels Horts","41,39362","2,00987","Cataluña"
"202","Barcelona","C    ","Sant Vicenç dels Horts","41,39362","2,00987","Cataluña"
"203","Barcelona","TRVA ","Sant Vicenç dels Horts","41,39362","2,00987","Cataluña"
"204","Barcelona","AV   ","Santa Coloma de Cervelló","41,36684","2,015083","Cataluña"
"205","Barcelona","C    ","Santa Eugènia de Berga","41,9003","2,282697","Cataluña"
"206","Barcelona","CTRA ","Santa Eulàlia de Ronçana","41,65306","2,226111","Cataluña"
"207","Barcelona","C    ","Santa Margarida i els Monjos","41,32087","1,662838","Cataluña"
"208","Barcelona","C    ","Santa Maria d'Oló","41,87207","2,035291","Cataluña"
"209","Barcelona","PTGE ","Santa Maria d'Oló","41,87207","2,035291","Cataluña"
"210","Barcelona","AV   ","Santa Maria de Palautordera","41,6932","2,446227","Cataluña"
"211","Barcelona","AV   ","Santa Perpètua de Mogoda","41,53486","2,178988","Cataluña"
"212","Barcelona","PTGE ","Santa Perpètua de Mogoda","41,53486","2,178988","Cataluña"
"213","Barcelona","C    ","Santpedor","41,78357","1,839129","Cataluña"
"214","Barcelona","C    ","Seva","41,83733","2,281063","Cataluña"
"215","Barcelona","C    ","Sitges","41,23478","1,811222","Cataluña"
"216","Barcelona","AV   ","Subirats","41,38472","1,798056","Cataluña"
"217","Barcelona","C    ","Súria","41,83179","1,750768","Cataluña"
"218","Barcelona","C    ","Taradell","41,87363","2,287192","Cataluña"
"219","Barcelona","C    ","Teià","41,49969","2,320616","Cataluña"
"220","Barcelona","AV   ","Terrassa","41,56095","2,01044","Cataluña"
"221","Barcelona","C    ","Tiana","41,48324","2,26898","Cataluña"
"222","Barcelona","C    ","Tona","41,84785","2,227755","Cataluña"
"223","Barcelona","C    ","Tordera","41,70206","2,71902","Cataluña"
"224","Barcelona","PTGE ","Torelló","42,04824","2,26272","Cataluña"
"225","Barcelona","C    ","Torre de Claramunt, La","41,53589","1,661657","Cataluña"
"226","Barcelona","C    ","Vacarisses","41,60627","1,919159","Cataluña"
"227","Barcelona","C    ","Vallirana","41,38872","1,932255","Cataluña"
"228","Barcelona","C    ","Vallromanes","41,5318","2,298065","Cataluña"
"229","Barcelona","PTGE ","Vallromanes","41,5318","2,298065","Cataluña"
"230","Barcelona","CTRA ","Vic","41,93029","2,25435","Cataluña"
"231","Barcelona","CTRA ","Viladecans","41,31601","2,020199","Cataluña"
"232","Barcelona","AV   ","Viladecavalls","41,55547","1,954526","Cataluña"
"233","Barcelona","C    ","Viladecavalls","41,55547","1,954526","Cataluña"
"234","Barcelona","AV   ","Vilafranca del Penedès","41,34509","1,699849","Cataluña"
"235","Barcelona","CALLE","Vilalba Sasserra","41,65272","2,441072","Cataluña"
"236","Barcelona","CARRE","Vilanova i la Geltrú","41,22415","1,725568","Cataluña"
"237","Barcelona","C    ","Vilassar de Dalt","41,51669","2,358552","Cataluña"
"238","Barcelona","CARRE","Aiguaviva","41,9372","2,760639","Cataluña"
"239","Barcelona","AV   ","Amer","42,0095","2,604287","Cataluña"
"240","Barcelona","C/   ","Banyoles","42,11812","2,764747","Cataluña"
"241","Barcelona","C/   ","Besalú","42,20039","2,698663","Cataluña"
"242","Barcelona","CARRE","Blanes","41,67427","2,792096","Cataluña"
"243","Barcelona","C/   ","Breda","41,74772","2,559948","Cataluña"
"244","Barcelona","CARRE","Cadaqués","42,28896","3,278389","Cataluña"
"245","Barcelona","C/   ","Caldes de Malavella","41,83933","2,809666","Cataluña"
"246","Barcelona","AV   ","Calonge","41,86162","3,072578","Cataluña"
"247","Barcelona","AV   ","Campdevànol","42,22223","2,167294","Cataluña"
"248","Barcelona","CARRE","Castell-Platja d'Aro","41,818","3,067004","Cataluña"
"249","Barcelona","CARRE","Escala, L'","42,12479","3,132396","Cataluña"
"250","Barcelona","AV   ","Figueres","42,2675","2,96084","Cataluña"
"251","Barcelona","RTDA ","Girona","41,9818","2,8237","Cataluña"
"252","Barcelona","C    ","Girona","41,9818","2,8237","Cataluña"
"253","Barcelona","C/   ","Hostalric","41,74648","2,635484","Cataluña"
"254","Barcelona","C    ","Llagostera","41,82928","2,893911","Cataluña"
"255","Barcelona","CARRE","Llançà","42,36518","3,161217","Cataluña"
"256","Barcelona","C    ","Lloret de Mar","41,69878","2,847584","Cataluña"
"257","Barcelona","C/   ","Maçanet de la Selva","41,77703","2,73262","Cataluña"
"258","Barcelona","C    ","Palafrugell","41,91719","3,163817","Cataluña"
"259","Barcelona","CARRE","Palamós","41,84676","3,128636","Cataluña"
"260","Barcelona","C/   ","Planes d'Hostoles, Les","42,0569","2,54012","Cataluña"
"261","Barcelona","AVGDA","Porqueres","42,12186","2,748212","Cataluña"
"262","Barcelona","AV   ","Portbou","42,42653","3,15937","Cataluña"
"263","Barcelona","PL   ","Puigcerdà","42,43135","1,927728","Cataluña"
"264","Barcelona","CTRA ","Ribes de Freser","42,30637","2,169102","Cataluña"
"265","Barcelona","C/   ","Riells i Viabrea","41,72167","2,551667","Cataluña"
"266","Barcelona","CTRA ","Ripoll","42,20079","2,190623","Cataluña"
"267","Barcelona","C    ","Sant Feliu de Guíxols","41,78058","3,030733","Cataluña"
"268","Barcelona","CARRE","Sant Hilari Sacalm","41,87896","2,510884","Cataluña"
"269","Barcelona","PTGE ","Sant Joan les Fonts","42,2124","2,511678","Cataluña"
"270","Barcelona","CARRE","Santa Coloma de Farners","41,86081","2,667772","Cataluña"
"271","Barcelona","CARRE","Sils","41,80917","2,743466","Cataluña"
"272","Barcelona","CARRE","Torroella de Montgrí","42,04318","3,126361","Cataluña"
"273","Barcelona","C/   ","Tossa de Mar","41,72018","2,932097","Cataluña"
"274","Barcelona","C/   ","Vall de Bianya, La","42,22944","2,44","Cataluña"
"275","Barcelona","CARRE","Vidreres","41,79027","2,780014","Cataluña"
"276","Barcelona","CARRE","Vilablareix","41,95639","2,773002","Cataluña"
"277","Barcelona","CARRE","Vilamalla","42,21698","2,970136","Cataluña"
"278","Barcelona","CARRE","Alamús, Els","41,6161","0,7375647","Cataluña"
"279","Barcelona","CARRE","Almenar","41,79552","0,5701049","Cataluña"
"280","Barcelona","CARRE","Anglesola","41,65731","1,086762","Cataluña"
"281","Barcelona","CARRE","Arbeca","41,54045","0,9184976","Cataluña"
"282","Barcelona","CARRE","Artesa de Segre","41,89501","1,047474","Cataluña"
"283","Barcelona","CARRE","Balaguer","41,7897","0,805238","Cataluña"
"284","Barcelona","CARRE","Barbens","41,67765","1,014993","Cataluña"
"285","Barcelona","CARRE","Bellcaire d'Urgell","41,75747","0,9065079","Cataluña"
"286","Barcelona","CARRE","Bellmunt d'Urgell","41,77271","0,9525583","Cataluña"
"287","Barcelona","CARRE","Bellver de Cerdanya","42,37015","1,778271","Cataluña"
"288","Barcelona","CARRE","Castellserà","41,74613","0,9867843","Cataluña"
"289","Barcelona","CARRE","Cervera","41,66832","1,275151","Cataluña"
"290","Barcelona","CARRE","Golmés","41,63127","0,9324688","Cataluña"
"291","Barcelona","CARRE","Granja d'Escarp, La","41,41861","0,3525815","Cataluña"
"292","Barcelona","AVGDA","Lleida","41,61415","0,6257825","Cataluña"
"293","Barcelona","CTRA ","Lleida","41,61415","0,6257825","Cataluña"
"294","Barcelona","PLAÇA","Lleida","41,61415","0,6257825","Cataluña"
"295","Barcelona","CARRE","Mollerussa","41,63004","0,8941285","Cataluña"
"296","Barcelona","AVGDA","Oliana","42,06369","1,312823","Cataluña"
"297","Barcelona","CARRE","Ponts","41,91546","1,184873","Cataluña"
"298","Barcelona","CARRE","Sant Guim de Freixenet","41,65536","1,419204","Cataluña"
"299","Barcelona","CARRE","Sudanell","41,55616","0,566377","Cataluña"
"300","Barcelona","TRSSI","Sudanell","41,55616","0,566377","Cataluña"
"301","Barcelona","AV   ","Tàrrega","41,64686","1,139215","Cataluña"
"302","Barcelona","CARRE","Torre-serona","41,6713","0,6292645","Cataluña"
"303","Barcelona","CARRE","Tremp","42,16858","0,8949026","Cataluña"
"304","Barcelona","CARRE","Vilanova de Segrià","41,71128","0,620144","Cataluña"
"305","Barcelona","C    ","Aiguamúrcia","41,33018","1,359454","Cataluña"
"306","Barcelona","C    ","Alcanar","40,54484","0,4811905","Cataluña"
"307","Barcelona","C    ","Ametlla de Mar, L'","40,88507","0,8033742","Cataluña"
"308","Barcelona","C    ","Ampolla, L'","40,81324","0,7095863","Cataluña"
"309","Barcelona","C    ","Amposta","40,71231","0,579972","Cataluña"
"310","Barcelona","C    ","Banyeres del Penedès","41,27967","1,583377","Cataluña"
"311","Barcelona","C    ","Bisbal del Penedès, La","41,2802","1,488896","Cataluña"
"312","Barcelona","C    ","Bonastre","41,22233","1,440436","Cataluña"
"313","Barcelona","C    ","Cabra del Camp","41,39497","1,275942","Cataluña"
"314","Barcelona","C    ","Calafell","41,20056","1,568441","Cataluña"
"315","Barcelona","CTRA ","Calafell","41,20056","1,568441","Cataluña"
"316","Barcelona","AV   ","Calafell","41,20056","1,568441","Cataluña"
"317","Barcelona","C    ","Cambrils","41,06705","1,056419","Cataluña"
"318","Barcelona","C    ","Constantí","41,15104","1,216675","Cataluña"
"319","Barcelona","C    ","Creixell","41,16623","1,440536","Cataluña"
"320","Barcelona","AV   ","Cunit","41,19884","1,636739","Cataluña"
